title,description,category,assignee,risk,due_date,progress
各地區負責人確認,高風險姓名,行政組,行政組,高風險,2026/3/1,25%
路線確認,確認中：台北、台南、南屏、南台、宜蘭；已拿到：新竹、台中、嘉義,,未知,中風險,2026/3/1,0%
路線路勘,彰化下周永嚴老師；台北道場不走五分鋪,引禮組,知竺老師,中風險,2026/3/20,0%
安排和尚製作表格,協調和尚人選；請示保和尚其餘戒會開牌,行政組,知竺老師,低風險,2026/4/1,0%
行腳手冊內容,包括路線、注意事項、住宿、吃飯、點心、洗衣服、分開路線一二；講習4.20-26；舉牌10個；確認內容；網頁待確認；貴賓名單,,知竺老師,高風險,2026/3/20,0%
便當規劃,路線確認後定案,食宿組,知竺老師,中風險,2026/4/1,0%
掛單地點,待確認,食宿組,知竺老師,中風險,2026/3/20,0%
遊覽車,信眾部已訂8台，需提供路線,交通組,,,2026/3/1,100%
佛祖車,里程碑,交通組,慧融法師,,2026/2/18,100%
錦旗設計,進度正常,設計組,品瑀,,2026/3/27,100%
大眾結緣品,沙彌等收貨400箱，根據路線分配,總務組,院長,中風險,2026/2/16,100%
念珠,"2400個申請27,600個，分男女眾和兒童(3:6:1)",總務組,明具,中風險,2026/3/12,0%
僧袋,等收貨(130壞色+370)，申請100個舊；每線舊50新200,總務組,明海,中風險,2026/3/12,50%
帽子,已OK分路線每線40頂,總務組,明海,中風險,2026/3/12,50%
雨衣,週四抵達常住處理,總務組,亞超,,2026/2/16,0%
缽,申請280個,總務組,明具+亞超,中風險,2026/3/12,0%
三壇大戒目標,,,院長,,2026/4/16,0%
行腳托缽目標,,,院長,,2026/5/3,0%
